Snail.ID	size	species	time.emerge	Trial	time	x	y
1	2.4	non	0	wet	280	-2.3	-1.9
1	2.4	non	0	wet	290	-2.3	-1.8
1	2.4	non	0	wet	300	-2.3	-1.8
B	2.2	native	0	dry	0	0	0
B	2.2	native	0	dry	10	0.1	0.1
B	2.2	native	0	dry	20	0.1	0
B	2.2	native	0	dry	30	0	0
B	2.2	native	0	dry	40	0	0
B	2.2	native	0	dry	50	-0.1	0
B	2.2	native	0	dry	60	-0.2	0.1
B	2.2	native	0	dry	70	-0.4	0.4
B	2.2	native	0	dry	80	-0.7	0.8
B	2.2	native	0	dry	90	-0.9	0.9
B	2.2	native	0	dry	100	-0.6	1.2
B	2.2	native	0	dry	110	-0.6	1.3
B	2.2	native	0	dry	120	-0.7	1.3
B	2.2	native	0	dry	130	-0.7	1.3
B	2.2	native	0	dry	140	-0.9	1.8
B	2.2	native	0	dry	150	-0.7	2
B	2.2	native	0	dry	160	-0.4	2.4
B	2.2	native	0	dry	170	-0.2	2.7
B	2.2	native	0	dry	180	0	2.9
B	2.2	native	0	dry	190	0.2	2.9
B	2.2	native	0	dry	200	0.1	2.9
B	2.2	native	0	dry	210	0.1	2.9
B	2.2	native	0	dry	220	0.2	2.9
B	2.2	native	0	dry	230	0.2	2.9
B	2.2	native	0	dry	240	0.3	3.1
B	2.2	native	0	dry	250	0.4	3.1
B	2.2	native	0	dry	260	0.4	3.2
B	2.2	native	0	dry	270	0.4	3.4
B	2.2	native	0	dry	280	0.4	3.5
B	2.2	native	0	dry	290	0.5	3.7
B	2.2	native	0	dry	300	0.5	3.8
B	2.2	native	0	wet	0	0	0
B	2.2	native	0	wet	10	0	0.1
B	2.2	native	0	wet	20	0	0.1
B	2.2	native	0	wet	30	0	0.2
B	2.2	native	0	wet	40	-0.1	0.3
B	2.2	native	0	wet	50	0.3	0.4
B	2.2	native	0	wet	60	0.3	0.5
B	2.2	native	0	wet	70	0.5	0.7
B	2.2	native	0	wet	80	0.8	0.5
B	2.2	native	0	wet	90	1.3	0.1
B	2.2	native	0	wet	100	1.4	-0.1
B	2.2	native	0	wet	110	1.4	-0.2
B	2.2	native	0	wet	120	1.3	-0.4
B	2.2	native	0	wet	130	1.6	-0.7
B	2.2	native	0	wet	140	1.5	-0.9
B	2.2	native	0	wet	150	1.5	-1.1
B	2.2	native	0	wet	160	1.5	-1.4
B	2.2	native	0	wet	170	1.5	-1.6
B	2.2	native	0	wet	180	1.5	-1.7
B	2.2	native	0	wet	190	1.4	-1.8
B	2.2	native	0	wet	200	1.4	-1.9
B	2.2	native	0	wet	210	1.3	-2
B	2.2	native	0	wet	220	1.3	-2.1
B	2.2	native	0	wet	230	1.2	-2.2
B	2.2	native	0	wet	240	1.1	-2.2
B	2.2	native	0	wet	250	0.9	-2.4
B	2.2	native	0	wet	260	1	-2.7
B	2.2	native	0	wet	270	0.7	-2.9
B	2.2	native	0	wet	280	0.4	-3.3
B	2.2	native	0	wet	290	0.1	-3.3
B	2.2	native	0	wet	300	-0.2	-3.6
C	2	native	17	dry	0	0	0
C	2	native	17	dry	10	0	0.1
C	2	native	17	dry	20	0	0.1
C	2	native	17	dry	30	0	0
C	2	native	17	dry	40	-0.1	0
C	2	native	17	dry	50	-0.1	0
C	2	native	17	dry	60	-0.1	0
C	2	native	17	dry	70	0	0.1
C	2	native	17	dry	80	0	0.1
C	2	native	17	dry	90	0	0.1
C	2	native	17	dry	100	0	0.1
C	2	native	17	dry	110	0	0.1
C	2	native	17	dry	120	0	0.2
C	2	native	17	dry	130	0	0.2
C	2	native	17	dry	140	-0.1	0.2
C	2	native	17	dry	150	-0.1	0.2
C	2	native	17	dry	160	-0.1	0.2
C	2	native	17	dry	170	-0.2	0.1
C	2	native	17	dry	180	-0.2	0
C	2	native	17	dry	190	-0.2	0
C	2	native	17	dry	200	-0.1	-0.1
C	2	native	17	dry	210	-0.1	-0.1
C	2	native	17	dry	220	-0.2	-0.2
C	2	native	17	dry	230	-0.5	-0.5
C	2	native	17	dry	240	-0.5	-0.9
C	2	native	17	dry	250	-0.5	-1.2
C	2	native	17	dry	260	-0.5	-1.4
