Initial Posistion	Snail.ID	time	x	y
top	11	480	-3.3	6.3
top	11	490	-3.1	6.8
top	11	500	-3.2	7.2
top	11	510	-3.1	7.6
top	11	520	-3.2	7.8
top	11	530	-3.3	8.1
top	11	540	-3.2	8.6
top	11	550	-3.1	9.3
top	11	560	-3.6	9.5
top	11	570	-3.1	10.3
top	11	580	-3.3	10.6
top	11	590	-3.8	11.1
top	11	600	-4.2	11.6
right	1	0	1.5	0.2
right	1	10	1.3	0
right	1	20	1.2	-0.1
right	1	30	1.1	0.1
right	1	40	0.7	0.6
right	1	50	0.5	1.2
right	1	60	0.5	2
right	1	70	0.2	3
right	1	80	0.1	3.5
right	1	90	0	4.1
right	1	100	-0.1	4.8
right	1	110	-0.1	5.3
right	1	120	0	5.7
right	1	130	-0.1	6
right	1	140	-0.1	6.1
right	1	150	-0.2	6.3
right	1	160	-0.5	6.5
right	1	170	-0.6	6.6
right	1	180	-0.7	6.6
right	1	190	-0.7	6.7
right	1	200	-0.7	6.8
right	1	210	-1	7.2
right	1	220	-1	7.3
right	1	230	-1.1	7.3
right	1	240	-1.2	7.5
right	1	250	-1.3	7.6
right	1	260	-1.2	7.7
right	1	270	-1.5	8
right	1	280	-1.7	8.2
right	1	290	-1.7	8.5
right	1	300	-2.2	8.5
right	1	310	-2.3	8.6
right	1	320	-2.5	8.6
right	1	330	-2.7	8.7
right	1	340	-3	8.8
right	1	350	-2.7	9.1
right	1	360	-3	9.2
right	1	370	-3.1	9.2
right	1	380	-3.2	9.5
right	1	390	-3.3	9.8
right	1	400	-3.3	10
right	1	410	-3.2	10.2
right	1	420	-3.6	10.6
right	1	430	-3.6	11
right	1	440	-3.7	11.3
right	1	450	-3.8	11.8
right	1	460	-3.8	12.3
right	1	470	-4.5	12.5
right	1	480	-4.6	12.5
right	1	490	-4.7	12.8
right	1	500	-4.7	13.2
right	1	510	-5.2	13.6
right	1	520	-5.3	13.5
right	1	530	-5.5	13.5
right	1	540	-5.3	13.3
right	1	550	-5.1	13.6
right	1	560	-5.3	13.3
right	1	570	-5.3	13.5
right	1	580	-5.5	13.5
right	1	590	-5.8	13.5
right	1	600	-6	13.6
