Initial Posistion	Snail.ID	time	x	y
left	6	0	-1.7	-0.5
left	6	10	-1.7	-0.5
left	6	20	-1.7	-0.5
left	6	30	-1.7	-0.5
left	6	40	-1.6	-0.3
left	6	50	-1.6	-0.3
left	6	60	-1.5	-0.3
left	6	70	-1.5	-0.2
left	6	80	-1.6	-0.2
left	6	90	-1.3	-0.1
left	6	100	-1.1	-0.1
left	6	110	-1	0.2
left	6	120	-0.6	0.5
left	6	130	-1.2	0.5
left	6	140	-1.2	0.6
left	6	150	-1.2	0.7
left	6	160	-1.1	1.1
left	6	170	-1.7	1.1
left	6	180	-2.1	1.1
left	6	190	-2.3	1.2
left	6	200	-2.5	1.3
left	6	210	-2.8	2
left	6	220	-2.8	1.8
left	6	230	-2.8	1.8
left	6	240	-2.7	2.1
left	6	250	-2.6	2.2
left	6	260	-2.5	2.2
left	6	270	-2.3	2.8
left	6	280	-2.3	3.1
left	6	290	-2.3	3.1
left	6	300	-2.2	3.1
left	6	310	-2.2	3.1
left	6	320	-2.2	3.2
left	6	330	-2.2	3.1
left	6	340	-2.2	3.1
left	6	350	-2.2	3.3
left	6	360	-2.2	3.5
left	6	370	-2.3	4.2
left	6	380	-2.6	4.1
left	6	390	-3	4.7
left	6	400	-3.5	5.5
left	6	410	-3.7	5.3
left	6	420	-4	5.6
left	6	430	-4	6.1
left	6	440	-4	6.6
left	6	450	-4	6.8
left	6	460	-4.1	6.8
left	6	470	-4.2	7
left	6	480	-4.3	7.2
left	6	490	-4.5	7.5
left	6	500	-4.6	8
left	6	510	-4.8	8.1
left	6	520	-5.1	8.5
left	6	530	-5.5	8.6
left	6	540	-5.5	8.5
left	6	550	-5.5	8.8
left	6	560	-5.8	9
left	6	570	-6	9.2
left	6	580	-6.2	9.3
left	6	590	-6.5	9.5
left	6	600	-6.6	9.8
bottom	2	0	0	-1.2
bottom	2	10	-0.1	-0.8
bottom	2	20	-0.1	-0.1
bottom	2	30	-0.3	0.3
bottom	2	40	-0.7	0.7
bottom	2	50	-1.7	0.8
bottom	2	60	-2.1	0.8
bottom	2	70	-1.6	0.1
bottom	2	80	-1.3	-0.2
bottom	2	90	-1.1	-0.5
bottom	2	100	-1.3	-0.6
bottom	2	110	-0.7	-0.2
bottom	2	120	-0.8	0
bottom	2	130	-1.3	0.1
bottom	2	140	-1.5	0.1
bottom	2	150	-2	-0.2
bottom	2	160	-2.6	-0.5
bottom	2	170	-2.7	-0.7
bottom	2	180	-2.8	-1.1
bottom	2	190	-2.8	-1.6
bottom	2	200	-2.8	-2
bottom	2	210	-2.8	-2.1
bottom	2	220	-2.8	-2.3
bottom	2	230	-3	-2.5
bottom	2	240	-3	-2.5
bottom	2	250	-2.7	-2.6
bottom	2	260	-2.8	-2.8
bottom	2	270	-2.8	-3.2
bottom	2	280	-2.8	-3.5
bottom	2	290	-2.7	-3.7
bottom	2	300	-2.7	-4
bottom	2	310	-2.6	-4.1
bottom	2	320	-2.6	-4.7
bottom	2	330	-2.5	-4.7
bottom	2	340	-2.5	-4.8
bottom	2	350	-2.5	-5
bottom	2	360	-2.5	-5.1
bottom	2	370	-2.6	-5.3
bottom	2	380	-2.5	-5.8
bottom	2	390	-2.3	-6.1
bottom	2	400	-2.5	-6.6
bottom	2	410	-2.6	-7
bottom	2	420	-2.3	-7.2
bottom	2	430	-2.3	-7.5
bottom	2	440	-2.2	-8.1
bottom	2	450	-2.2	-8.5
bottom	2	460	-2.2	-8.8
bottom	2	470	-2.2	-9.2
bottom	2	480	-2.2	-9.5
bottom	2	490	-2.8	-10
bottom	2	500	-2.6	-10.1
bottom	2	510	-2.6	-10.2
bottom	2	520	-2.2	-10.8
bottom	2	530	-2.2	-11.1
bottom	2	540	-2.1	-11.5
bottom	2	550	-2.2	-11.6
bottom	2	560	-1.6	-12
bottom	2	570	-1.6	-12.2
bottom	2	580	-1.2	-12.6
bottom	2	590	-0.7	-13.1
bottom	2	600	-0.5	-13.5
top	11	0	-0.3	2.1
top	11	10	-0.6	2.2
top	11	20	-0.6	2.2
top	11	30	-0.5	2.2
top	11	40	-0.6	2.3
top	11	50	-0.7	2.3
top	11	60	-0.8	2.5
top	11	70	-0.8	2.2
top	11	80	-0.8	2.1
top	11	90	-1.1	2.1
top	11	100	-1.2	2
top	11	110	-1	0.8
top	11	120	-1.2	2
top	11	130	-1.5	2
top	11	140	-1.5	2
top	11	150	-1.7	2
top	11	160	-1.7	2
top	11	170	-2	1.8
top	11	180	-2	2
top	11	190	-2	2.1
top	11	200	-1.8	2.2
top	11	210	-1.8	2.5
top	11	220	-1.7	2.8
top	11	230	-2	3.2
top	11	240	-1.7	3.6
top	11	250	-1.5	3.8
top	11	260	-1.6	4.1
top	11	270	-1.6	4.5
top	11	280	-1.7	4.7
top	11	290	-1.8	4.8
top	11	300	-2.1	4.8
top	11	310	-2	4.7
top	11	320	-2.3	4.7
top	11	330	-2.3	4.7
top	11	340	-2.3	4.8
top	11	350	-2.5	5.3
top	11	360	-2.2	4.8
top	11	370	-2.2	4.8
top	11	380	-2.5	4.8
top	11	390	-2.5	4.8
top	11	400	-2.7	4.8
top	11	410	-2.8	5.2
top	11	420	-3	5.3
top	11	430	-3	5.7
top	11	440	-2.8	5.8
top	11	450	-2.8	6
top	11	460	-3.1	6.1
top	11	470	-3.3	6.1
