Initial Posistion	Snail.ID	time	x	y
top left	B	0	-1.1	1.2
top left	B	10	-1.1	1.2
top left	B	20	-1.1	1.2
top left	B	30	-1.1	1.2
top left	B	40	-1.1	1.2
top left	B	50	-1.1	1.2
top left	B	60	-1.1	1.2
top left	B	70	-1.1	1.2
top left	B	80	-1.1	1.2
top left	B	90	-1.1	1.2
top left	B	100	-1.1	1.2
top left	B	110	-1.1	1.2
top left	B	120	-1.1	1.2
top left	B	130	-1.1	1.2
top left	B	140	-1.1	1.2
top left	B	150	-1.1	1.2
top left	B	160	-1.1	1.2
top left	B	170	-1.1	1.2
top left	B	180	-1.1	1.2
top left	B	190	-1.1	1.2
top left	B	200	-1.1	1.2
top left	B	210	-1.1	1.2
top left	B	220	-1.1	1.2
top left	B	230	-1.1	1.2
top left	B	240	-1.1	1.2
top left	B	250	-1.1	1.2
top left	B	260	-1.1	1.2
top left	B	270	-1.1	1.2
top left	B	280	-1.1	1.2
top left	B	290	-1.1	1.2
top left	B	300	-1.1	1.2
top  	6	0	-0.6	1.6
top  	6	10	-0.6	1.6
top  	6	20	-0.6	1.6
top  	6	30	-0.6	1.6
top  	6	40	-0.7	1.7
top  	6	50	-0.6	1.7
top  	6	60	-0.5	1.7
top  	6	70	-0.5	1.6
top  	6	80	-0.3	1.5
top  	6	90	-0.5	1.5
top  	6	100	-0.3	1.2
top  	6	110	-0.2	0.7
top  	6	120	0.2	1.1
top  	6	130	0.3	1.8
top  	6	140	0.3	2.6
top  	6	150	0.5	3.7
top  	6	160	0.5	4.8
top  	6	170	0.5	5.8
top  	6	180	0.3	7
top  	6	190	0.3	8.1
top  	6	200	0.2	9.2
top  	6	210	0.2	10.2
top  	6	220	0.3	10.7
top  	6	230	0.5	12.6
top  	6	240	0.5	13.7
top  	6	250	0.5	15
top  	6	260	0.5	15.8
top  	6	270	0.3	16.8
top  	6	280	0.3	18.1
top  	6	290	0.3	19.1
top  	6	300	0.5	20.3
top right	5	0	1.5	1.2
top right	5	10	1.5	1.2
top right	5	20	1.5	1.2
top right	5	30	1.5	1.2
top right	5	40	1.5	1.2
top right	5	50	1.5	1.2
top right	5	60	1.5	1.2
top right	5	70	1.5	1.2
top right	5	80	1.5	1.2
top right	5	90	1.5	1.2
top right	5	100	1.5	1.2
top right	5	110	1.5	1.2
top right	5	120	1.5	1.2
top right	5	130	1.5	1.2
top right	5	140	1.5	1.2
top right	5	150	1.5	1.2
top right	5	160	1.5	1.2
top right	5	170	1.5	1.2
top right	5	180	1.5	1.2
top right	5	190	1.5	1.2
top right	5	200	1.5	1.2
top right	5	210	1.5	1.2
top right	5	220	1.5	1.2
top right	5	230	1.5	1.2
top right	5	240	1.5	1.2
top right	5	250	1.5	1.2
top right	5	260	1.5	1.2
top right	5	270	1.5	1.2
top right	5	280	1.5	1.2
top right	5	290	1.5	1.2
top right	5	300	1.5	1.2
right	1	0	0.1	0.1
right	1	10	-0.1	0.2
right	1	20	-0.1	0.3
right	1	30	-0.1	0.2
right	1	40	-0.3	-0.3
right	1	50	-0.6	-0.8
right	1	60	-0.7	-1.5
right	1	70	-1.1	-1.5
right	1	80	-1.1	-1.7
right	1	90	-1.2	-2
right	1	100	-1.3	-2.3
right	1	110	-1.6	-2.5
right	1	120	-1.6	-2.6
right	1	130	-1.6	-2.8
right	1	140	-2	-3.1
right	1	150	-2.3	-3.6
right	1	160	-2.3	-4
right	1	170	-2.5	-4.1
right	1	180	-2.6	-4.5
right	1	190	-2.5	-4.6
right	1	200	-2.7	-4.7
right	1	210	-2.6	-4.8
right	1	220	-3	-5.1
right	1	230	-2.7	-5.2
right	1	240	-3.1	-5.6
right	1	250	-3.3	-6
right	1	260	-3.1	-6.1
right	1	270	-3.3	-6.2
right	1	280	-3.6	-6.3
right	1	290	-3.6	-6.8
right	1	300	-3.8	-7.1
bottom right	8	0	1.2	-1.7
bottom right	8	10	1.2	-1.7
bottom right	8	20	1.2	-1.7
bottom right	8	30	1.2	-1.7
bottom right	8	40	1.3	-1.8
bottom right	8	50	1.3	-1.7
bottom right	8	60	1.5	-1.7
bottom right	8	70	1.5	-1.6
bottom right	8	80	1.5	-1.5
bottom right	8	90	1.3	-1.3
bottom right	8	100	1.2	-1.3
bottom right	8	110	1.2	-1.7
bottom right	8	120	1.1	-1.5
bottom right	8	130	1.1	-1.7
bottom right	8	140	1	1.7
bottom right	8	150	0.7	-2.1
bottom right	8	160	0.7	-2.2
bottom right	8	170	0.7	-2.3
bottom right	8	180	0.7	-2.3
bottom right	8	190	0.7	-2.3
bottom right	8	200	0.7	-2.3
bottom right	8	210	0.7	-2.3
bottom right	8	220	0.7	-2.3
bottom right	8	230	0.7	-2.6
bottom right	8	240	0.7	-2.6
bottom right	8	250	0.7	-2.8
bottom right	8	260	0.7	-2.8
bottom right	8	270	0.7	-2.8
bottom right	8	280	0.7	-3.1
bottom right	8	290	0.8	-3.2
bottom right	8	300	0.8	-3.3
bottom  	2	0	-0.1	-1.2
bottom  	2	10	-0.7	-0.6
bottom  	2	20	-0.5	0.5
bottom  	2	30	-1.1	0.7
bottom  	2	40	-1.3	1.3
bottom  	2	50	-1.5	1.7
bottom  	2	60	-1.6	2
bottom  	2	70	-1.8	2.2
bottom  	2	80	-2.2	2.7
bottom  	2	90	-2.3	3.2
bottom  	2	100	-2.7	3.5
bottom  	2	110	-2.8	3.6
bottom  	2	120	-3.1	4.2
bottom  	2	130	-3.3	5
bottom  	2	140	-4.2	5.2
bottom  	2	150	-3.6	5.6
bottom  	2	160	-3.6	5.7
bottom  	2	170	-3.7	5.5
bottom  	2	180	-3.7	6.1
bottom  	2	190	-4.3	6.8
bottom  	2	200	-4.7	7.3
bottom  	2	210	-4.6	7.2
bottom  	2	220	-4.5	7.7
bottom  	2	230	-4.8	8
bottom  	2	240	-5.2	8.1
bottom  	2	250	-5.6	8.3
bottom  	2	260	-5.7	8.7
bottom  	2	270	-5.6	9.5
bottom  	2	280	-6.1	9.7
bottom  	2	290	-6.5	9.7
bottom  	2	300	-6.6	10
bottom left	7	0	-1	-1
bottom left	7	10	-1	-1
bottom left	7	20	-1	-1
bottom left	7	30	-1	-1
bottom left	7	40	-1	-1
bottom left	7	50	-1	-1
bottom left	7	60	-1	-1
bottom left	7	70	-1	-1
bottom left	7	80	-0.2	-1.5
bottom left	7	90	-0.1	-1.5
bottom left	7	100	1	-1.7
bottom left	7	110	0.3	-2
bottom left	7	120	0.7	-2.2
bottom left	7	130	0.8	-2.5
bottom left	7	140	1.2	-2.6
bottom left	7	150	1.3	-2.6
bottom left	7	160	1.5	-2.5
bottom left	7	170	1.5	-2.5
bottom left	7	180	1.5	-2.2
