Initial Posistion	Snail.ID	time	x	y
bottom left	7	190	1.6	-2.1
bottom left	7	200	1.5	-2
bottom left	7	210	1.3	-2
bottom left	7	220	1.2	-2
bottom left	7	230	1.3	-2.1
bottom left	7	240	1.1	-2.1
bottom left	7	250	0.7	-2.1
bottom left	7	260	0.8	-2.3
bottom left	7	270	1.1	-2.3
bottom left	7	280	1.1	-2.6
bottom left	7	290	1.1	-2.7
bottom left	7	300	1.2	-2.7
left	11	0	-1.8	0.1
left	11	10	-1.8	-0.1
left	11	20	-1.6	0
left	11	30	-1.6	0
left	11	40	-1.6	0.1
left	11	50	-1.6	0
left	11	60	-1.8	-0.6
left	11	70	-1.7	-0.6
left	11	80	-1.6	-0.7
left	11	90	-1.5	-0.8
left	11	100	-2.3	-1.6
left	11	110	-2.7	-1.6
left	11	120	-3	-2.1
left	11	130	-3.2	-2.2
left	11	140	-3.3	-2.6
left	11	150	-4.1	-2.5
left	11	160	-4.6	-3
left	11	170	-5	-3
left	11	180	-5.2	-3.1
left	11	190	-5.6	-3.1
left	11	200	-5.8	-3.5
left	11	210	-6.1	-3.2
left	11	220	-6.6	-3.1
left	11	230	-6.8	-3.3
left	11	240	-6.6	-3.3
left	11	250	-6.6	-3.1
left	11	260	-6.7	-3.2
left	11	270	-7	-2.8
left	11	280	-7.1	-2.8
left	11	290	-7.2	-3.2
left	11	300	-7.5	-3.7
