Initial Posistion	Snail.ID	time	x	y
bottom  	8	240	-3.1	1.1
bottom  	8	250	-3.1	1.1
bottom  	8	260	-3.1	1.1
bottom  	8	270	-3.7	1.5
bottom  	8	280	-3.5	2.1
bottom  	8	290	-3.7	2.2
bottom  	8	300	-3.8	2.2
bottom left	1	0	-1.3	-1.2
bottom left	1	10	-1.1	-1.2
bottom left	1	20	-1	-1
bottom left	1	30	-1	-1
bottom left	1	40	-1	-1
bottom left	1	50	-1	-1
bottom left	1	60	-1	-1
bottom left	1	70	-1	-1
bottom left	1	80	-1	-1
bottom left	1	90	-1.1	-1
bottom left	1	100	-1.1	-0.7
bottom left	1	110	-1.3	-0.6
bottom left	1	120	-1.8	0
bottom left	1	130	-2.5	0.7
bottom left	1	140	-2.7	0.3
bottom left	1	150	-2.8	0.5
bottom left	1	160	-3	0.6
bottom left	1	170	-3.3	0.7
bottom left	1	180	-3.2	0.5
bottom left	1	190	-3.3	0.6
bottom left	1	200	-3.3	0.6
bottom left	1	210	-3.3	0.6
bottom left	1	220	-3.3	0.6
bottom left	1	230	-3.3	0.6
bottom left	1	240	-3.7	0.8
bottom left	1	250	-3.8	0.8
bottom left	1	260	-4.1	1.1
bottom left	1	270	-4.2	1.3
bottom left	1	280	-4.3	1.6
bottom left	1	290	-4.5	1.6
bottom left	1	300	-4.6	1.6
left	5	0	-0.7	0
left	5	10	-0.7	0
left	5	20	-0.5	-0.5
left	5	30	-0.5	-0.7
left	5	40	-0.5	-0.7
left	5	50	-0.5	-0.7
left	5	60	-0.5	-0.7
left	5	70	-0.5	-0.7
left	5	80	-0.5	-0.7
left	5	90	-0.5	-0.7
left	5	100	-0.7	-0.7
left	5	110	-0.7	-0.7
left	5	120	-0.7	-0.7
left	5	130	-0.7	-0.7
left	5	140	-0.7	-0.7
left	5	150	-0.7	-0.7
left	5	160	-0.7	-0.7
left	5	170	-0.7	-0.7
left	5	180	-0.7	-0.7
left	5	190	-0.7	-0.7
left	5	200	-0.7	-0.7
left	5	210	-0.7	-0.7
left	5	220	-0.7	-0.7
left	5	230	-0.7	-0.7
left	5	240	-0.7	-0.7
left	5	250	-0.7	-0.7
left	5	260	-0.7	-0.7
left	5	270	-0.7	-0.7
left	5	280	-0.7	-0.7
left	5	290	-0.7	-0.7
left	5	300	-0.7	-0.7
