Initial Position	Snail.ID	time	x	y
left	7	580	-6.3	3.7
left	7	590	-6.2	3.5
left	7	600	-6.2	3.6
top	8	0	0.1	1.2
top	8	10	0.2	1.2
top	8	20	0.1	1.1
top	8	30	0.2	1.1
top	8	40	0.1	0.8
top	8	50	-0.1	1
top	8	60	-0.7	1.1
top	8	70	-0.7	0.8
top	8	80	-1	0.8
top	8	90	-1.2	0.7
top	8	100	-1.3	0.7
top	8	110	-1.3	0.7
top	8	120	-1.3	0.7
top	8	130	-1.3	0.7
top	8	140	-1.3	0.6
top	8	150	-1.3	0.6
top	8	160	-1.7	0.7
top	8	170	-1.7	0.7
top	8	180	-1.7	0.7
top	8	190	-1.7	0.6
top	8	200	-1.8	0.7
top	8	210	-1.8	0.7
top	8	220	-2.1	0.7
top	8	230	-2.3	1
top	8	240	-2.2	1.1
top	8	250	-2.2	1.3
top	8	260	-2.5	1.6
top	8	270	-2.5	1.8
top	8	280	-2.6	2
top	8	290	-2.6	2.1
top	8	300	-2.6	2.2
top	8	310	-2.6	2.2
top	8	320	-3	2.2
top	8	330	-2.8	2.3
top	8	340	-3	2.5
top	8	350	-3.1	2.5
top	8	360	-3.5	2.5
top	8	370	-3.6	2.7
top	8	380	-3.6	2.7
top	8	390	-3.6	2.8
top	8	400	-3.7	2.8
top	8	410	-3.7	3
top	8	420	-3.7	3.1
top	8	430	-3.7	3.1
top	8	440	-3.8	3.2
top	8	450	-3.8	3.2
top	8	460	-3.8	3.2
top	8	470	-3.8	3.2
top	8	480	-3.8	3.2
top	8	490	-3.8	3.2
top	8	500	-3.8	3.2
top	8	510	-3.8	3.2
top	8	520	-3.8	3.2
top	8	530	-3.8	3.2
top	8	540	-3.8	3.2
top	8	550	-3.8	3.2
top	8	560	-3.8	3.2
top	8	570	-3.8	3.2
top	8	580	-3.8	3.2
top	8	590	-3.8	3.2
top	8	600	-3.8	3.2
