Initial Position	Snail.ID	time	x	y
bottom	8	0	0	-0.5
bottom	8	10	-0.125	-0.25
bottom	8	20	-0.125	-0.5
bottom	8	30	0	-0.5
bottom	8	40	0.125	-0.375
bottom	8	50	0.125	-0.125
bottom	8	60	0.125	0.25
bottom	8	70	0.5	0.25
bottom	8	80	0.375	0.375
bottom	8	90	0.25	0.5
bottom	8	100	0.25	0.5
bottom	8	110	0.25	0.5
bottom	8	120	0	0.5
bottom	8	130	-0.375	0.125
bottom	8	140	-0.375	-0.375
bottom	8	150	-0.5	-0.75
bottom	8	160	-1.375	-0.75
bottom	8	170	-1.75	-0.875
bottom	8	180	-2	-1.375
bottom	8	190	-2.25	-1.75
bottom	8	200	-2.375	-1.75
bottom	8	210	-2.375	-1.625
bottom	8	220	-2.375	-1.625
bottom	8	230	-2.25	-1.5
bottom	8	240	-2.5	-1.25
bottom	8	250	-2.5	-1.25
bottom	8	260	-2.625	-1.5
bottom	8	270	-2.625	-1.75
bottom	8	280	-2.625	-1.75
bottom	8	290	-2.625	-1.875
bottom	8	300	-2.625	-1.875
bottom	8	310	-3.125	-2.25
bottom	8	320	-3.25	-2.5
bottom	8	330	-3.625	-2.375
bottom	8	340	-4	-1.875
bottom	8	350	-4	-2
bottom	8	360	-4	-2.125
bottom	8	370	-4	-2.125
bottom	8	380	-4	-3
bottom	8	390	-4	-3.5
bottom	8	400	-4.25	-3.5
bottom	8	410	-4.125	-3.625
bottom	8	420	-4.25	-3.625
bottom	8	430	-4.25	-4.125
bottom	8	440	-4.375	-4.375
bottom	8	450	-4.5	-4.5
bottom	8	460	-4.625	-4.375
bottom	8	470	-4.5	-4.5
bottom	8	480	-4.75	-4.625
bottom	8	490	-4.875	-4.625
bottom	8	500	-5.125	-4.75
bottom	8	510	-5.125	-4.625
bottom	8	520	-5.375	-5
bottom	8	530	-5.5	-5
bottom	8	540	-6.125	-5
bottom	8	550	-6.125	-5.375
bottom	8	560	-6.25	-5.25
bottom	8	570	-6.625	-5.375
bottom	8	580	-6.625	-5.625
bottom	8	590	-6.75	-5.75
bottom	8	600	-7	-6.125
top	5	0	-0.125	1.5
top	5	10	0	0.875
top	5	20	0.125	0.875
top	5	30	0.125	0.75
top	5	40	0.25	0.625
top	5	50	0.125	0.5
top	5	60	0.375	0.625
top	5	70	0.25	0
top	5	80	-0.5	-0.5
top	5	90	-1.625	-1
top	5	100	-1.625	-1.25
top	5	110	-1.7	-1.6
top	5	120	-1.7	-1.7
top	5	130	-1.7	-1.7
top	5	140	-1.5	-2.3
top	5	150	-1.5	-2.5
top	5	160	-1.5	-2.3
top	5	170	-1.6	-2.5
top	5	180	-1.3	-2.8
top	5	190	-1.5	-3.2
top	5	200	-1.5	-3.5
top	5	210	-1.7	-3.6
top	5	220	-1.8	-3.8
top	5	230	-2	-3.7
top	5	240	-2.2	-3.6
top	5	250	-2.1	-3.6
top	5	260	-2.2	-3.6
top	5	270	-2.2	-3.5
top	5	280	-2.3	-3.3
top	5	290	-2.5	-3.3
top	5	300	-2.6	-3.5
top	5	310	-3.1	-3.3
top	5	320	-3.2	-3.2
top	5	330	-3.2	-3
top	5	340	-3.3	-2.7
top	5	350	-3.2	-2.8
top	5	360	-3.1	-2.8
top	5	370	-2.8	-2.8
top	5	380	-2.7	-2.7
top	5	390	-2.8	-2.7
top	5	400	-2.7	-2.7
top	5	410	-2.8	-3.1
top	5	420	-3	-3
top	5	430	-2.8	-3.1
top	5	440	-2.7	-2.7
top	5	450	-2.6	-2.8
top	5	460	-2.5	-2.6
top	5	470	-2.3	-2.6
top	5	480	-2.1	-2.6
top	5	490	-1.7	-2.5
top	5	500	-1.6	-2.5
top	5	510	-1.5	-2.7
top	5	520	-1.5	-2.8
top	5	530	-1.5	-2.8
top	5	540	-1.5	-2.7
top	5	550	-1.5	-2.7
top	5	560	-1.5	-2.8
top	5	570	-1.5	-2.7
top	5	580	-1.5	-2.7
top	5	590	-1.3	-2.7
top	5	600	-1.7	-3.1
right	7	0	0.125	0.125
right	7	10	1.375	0
right	7	20	1.625	-1.625
right	7	30	1.25	-1.5
right	7	40	1.125	-1
right	7	50	0.75	-0.375
right	7	60	0.625	-0.25
right	7	70	0.375	-0.625
right	7	80	0.25	-0.75
right	7	90	-1.125	-0.75
right	7	100	-1.625	-1
right	7	110	-1.25	-0.875
right	7	120	-1	-1
right	7	130	-1	-1
right	7	140	-0.875	-1
right	7	150	-0.75	-1.125
right	7	160	-1.375	-1.125
right	7	170	-1.5	-1.375
right	7	180	-1.5	-1.375
right	7	190	-1.625	-1.5
right	7	200	-1.625	-1.875
right	7	210	-1.75	-2
right	7	220	-1.875	-2
right	7	230	-2.125	-2
right	7	240	-2.25	-2
right	7	250	-2.375	-2
right	7	260	-2.375	-2.125
right	7	270	-2.375	-2.25
right	7	280	-2.375	-2.25
right	7	290	-2.5	-2.375
right	7	300	-2.5	-2.375
right	7	310	-2.5	-2.375
right	7	320	-2.625	-2.375
right	7	330	-2.5	-2.25
right	7	340	-2.5	-2.25
right	7	350	-2.5	-2.25
right	7	360	-2.625	-2.125
right	7	370	-2.75	-2.25
right	7	380	-2.625	-2.375
right	7	390	-2.75	-2.625
right	7	400	-3.5	-3
right	7	410	-3.625	-3.5
right	7	420	-3.5	-3.5
right	7	430	-3.625	-3.5
right	7	440	-3.875	-3.875
right	7	450	-3.625	-4.125
right	7	460	-3.5	-4.125
right	7	470	-3.625	-4.25
right	7	480	-3.5	-4.375
right	7	490	-3.375	-4.75
right	7	500	-3.375	-5
right	7	510	-3.5	-5.25
right	7	520	-3.875	-5.5
right	7	530	-4	-5.625
right	7	540	-4.25	-5.875
right	7	550	-4.25	-6.125
right	7	560	-4.625	-6.5
right	7	570	-4.875	-6.625
right	7	580	-5.125	-6.875
right	7	590	-5	-7.25
right	7	600	-5.5	-7.5
left	B	0	-1.1	-0.1
left	B	10	-1.1	-0.1
left	B	20	-0.8	-0.3
left	B	30	-0.7	-0.2
left	B	40	-0.6	-0.5
left	B	50	-0.5	-0.5
left	B	60	-0.2	-0.5
left	B	70	0	-0.5
left	B	80	0	-0.5
left	B	90	0	-0.5
left	B	100	0	-0.5
left	B	110	0	-0.5
left	B	120	0	-0.5
left	B	130	0.2	-0.3
left	B	140	0.2	-0.3
left	B	150	0.2	-0.3
left	B	160	0.3	-0.5
left	B	170	0.3	-0.5
left	B	180	0.3	-0.3
left	B	190	0.3	-0.5
left	B	200	0.3	-0.5
left	B	210	0.3	-0.3
left	B	220	0.5	-0.3
left	B	230	0.5	-0.1
left	B	240	-0.6	0
left	B	250	-0.5	-0.7
left	B	260	-0.1	-1.1
left	B	270	0	-1.6
left	B	280	0.5	-1.5
left	B	290	1	-2.2
left	B	300	0.8	-2.1
left	B	310	1.3	-2.3
left	B	320	1	-2.6
left	B	330	1.2	-2.7
left	B	340	1.5	-3.2
left	B	350	1.6	-3.5
left	B	360	2	-3.5
left	B	370	2	-3.7
left	B	380	2.3	-3.6
left	B	390	2.8	-3.5
left	B	400	2.7	-3.5
left	B	410	2.8	-3.5
left	B	420	3	-3.5
left	B	430	2.8	-4
left	B	440	3.1	-4.3
left	B	450	3.3	-4.5
left	B	460	3.6	-4.7
left	B	470	3.7	-4.8
left	B	480	3.8	-4.8
left	B	490	3.8	-5
left	B	500	4	-5.2
left	B	510	4.2	-5.5
left	B	520	4.3	-5.6
left	B	530	4.1	-5.8
left	B	540	4	-6.1
left	B	550	4	-6.1
left	B	560	4.1	-6.3
left	B	570	4.2	-6.5
left	B	580	4.3	-6.7
left	B	590	4.3	-7
left	B	600	4.3	-7
